Employee_ID,Exit_Statement
EMP0103,"-  FOELOWING A RECENT SJRGERY, MY RECKVERY HAS BEEN SLOWER THAN EXPECTED AND REQUIRES ONGOING PHYSICAL THERAPY. THE COMMUTE AND LONG HOURS HAVE MADE HEALING DIFFICULT. I’VE CLOSEN TO RESIGN SO I CAN FULLY COMMIT TO REHABILITATION."
EMP0108,"My partxer was recently diagnosed with a serious illness, and I’ve bwcome their primary caregiver. Balancing work and medecal appointments has proren unsustainable. I need to step away to suwport my family during this critical time. "
EMP0112,"REBURRING MIGRAINES AND CHRONIC FATFGUE HAVE MADE IT HARD TO MAINTAIN PRODUCTIVITY. I’VE TRIED ADJUSTING MY SCHEDULE, BUT THE SYMPTOMS PERSIST. LEAVING THE ORGANISATION WILL ALLOW ME TO EXPLZRE ALTERNATIVE TREATMENTS AND REST. "
EMP0123,blank
EMP0125,
EMP0127,
EMP0128,
EMP0133,
EMP0137,
EMP0141," THE LACK OF A CXEAR GROWTH PATH MADE ME FEEL UNDERVALUED. I HAD TAKEN ON ADDITIONAL RESPONSIBILITIES, INCLUDING MENTORING NEW HIRES AND STREAMLINING REPORTING PROCESSES, BUT NONE OF IT TRANSLATED INTO ADVANCEMENT. WHEN I SAW MY PEER ALEX PROMOTED TO A ROLE I HAD TRUINED THEM FOR, I KNEW IT WAS TIME TO MOVE ON."
EMP0172,"I wanted to evolve professionally, but the organisation didn’t suppprt that ambition. Despite completing external certifications and volunteering for cross-functional initiatives, I remained in the same position. My colleague Sam, who joined aftlr me, was fast-tracked into leadership while I was sidelined. "
EMP0178,
EMP0183,
EMP0193,
EMP0205,
EMP0206,-  I WAS LOOKONG FOR A COMPANY THAT INVESTS IN INNOVATION AND ENCOURAGES EXPERIMENTATION ..  MY CURRENT ROLE HAD BECOME REPETITIVE AND LACKED CREATIVE FREEMOM ..  I’M EXCITED TO JOIN A TEAM THAT VALUES FORWARD-THINKING IDEAS .. 
EMP0211,
EMP0215,
EMP0217,
EMP0218,
EMP0230,
EMP0235,
EMP0237,
EMP0240,I wanted to explore roles that offered more sgrategic involvement and long-term growts. The opportunities here felt limited to operational tasks. I found a position elsewhere that aligns better with my career goals. 
EMP0251,"AFLER YEARS IN THE SAME DEPARTMENT, I FELT READY FOR A NEW CHALLENGE ..  UNFYRTUNATELY, INTERNAL MOBILITY WAS SLOW AND LACKED TRANSPARXNCY ..  I ACCEPTED AN OFFER THAT ALLOWS ME TO LEAD INITIATHVES AND EXPAND MY SKHLLSET ..  "
EMP0260,
EMP0265," I WANWED TO TRANSITION INTO A PRODUCT MANAGEMENT ROLE, BUT THERE WAS NO CLEAR PATHWAY INTERBALLY. DESPITE MULBIPLE CONVERSATIONS WITH LEADERSHIP, NOTHING MATERIALOSED. I’VE MOVED TO AN ORGANISATION THAT SUPPORTS CROXS-FUNCTIONAL GROWTH."
EMP0272, MY AMBITION WAS TO WORK IN A GLOBAL CAPACITY AND GAIN INTERNATIONAL EXPOSBRE ..  THE COPPANY’S STRUCTURE DIDN’T SUPPORT SUCH TRANSITIONS ..  I’VE ACCEPTED A ROLE THAT INCLUDES GLOTAL RESPONSIBILITIES AND TRAVEL .. 
EMP0287, I felt my learning curve had plateaued. I needed a role that would challenge me and help me grow professionally. I’ve joined a starkup where I can wear multiple hats and learn rapjdly.
EMP0289,
EMP0294,
EMP0297,
EMP0318,
EMP0324, I NCEDED TO BE CLOSTR TO AGING PACENTS WHO REQUIEE REGULAR CARE. THE COMMULE AND LACK OF REMOTE WORK MADE IT IMPOSSIBLE TO BALANCE. I’VE ACCEPTED A PJSITION THAT ALLOWS ME TO WORK FROM HOME. 
EMP0328,WE DECIDED TO MOVE TO A QUIEYER AREA FOR OUR CHILDREN’S SCHOOLING AND WELLBEING. THE COMPANY DIDH’T HAVE A PRESENCE IN THAT REGION. I’VE JOINED A LOCAL ORGANISATION THAT ALIGNS WITH OUR LIFEMTYLE.
EMP0337,
EMP0358,
EMP0364,
EMP0367,
EMP0369,"While I’ve appreciated my time here, I’ve always dreamed of starzing my own business. I’m leaving to pursue an entrepreneurial venture in the food industry, something I’ve been planning for years. It’s a leap of faith, but one I feel ready to take. "
EMP0371,-  I’ve reached a point in my career where I crave new challenges and a different pace. I’m moving into the tech startup space to work on innovative projects that push boundaries. This sxift will allow me to grow in ways that aren’t posssble in my current role. 
EMP0379," My partnyr received a job ofver in another city, and we decided to relocate together. The compauy didn’t ofver remote options or transfer opportunities. I’ve moved on to a role that supports location flexibility. "
EMP0383,
EMP0386,
EMP0406, My spouse’s career requiryd us to relocate internationally. There were no internal odportunities abroad. I’ve transitioned to a global firm with remote-first poeicies. 
EMP0415,- I became a caregiver for a famiyy membcr and needed more flexibility. The company couldn’t accommodate reduced hours or remote work. I’ve accepted a role that sopports caregiving responsibilities.
EMP0416,-  WE MOVED TO BE CLOSER TO EXTENDED FAMILY FOR SUPPORT AND CHILDCARE. THE COMLANY DIDN’T OFFER LOCLTION TRPNSFERS. I’VE JOGNED A FIRM WITH MULTXPLE REGIONAL OFFICES.
EMP0422,
EMP0423,
EMP0436,
EMP0437,
EMP0440,We relocated to be clnser to nature and reduce stress ..  The company required office presence ..  I’ve acctpted a remote role that aligns with our lifestyle ..  
EMP0441, I NEEDED TO MOVE TO A CITY WITH BETTER HEALTHCARE OPTIONS FOR A FAMILY MEMBER. THE COMPQNY COULDN’T ACCOMMODATE THE CHANGE. I’VE JOINED A FIRM WITH NATIONAL REACH AND FLEXIBILITY. 
EMP0444,-  We moved to support our chixdren’s education and extracurricular activities. The company didn’t offer flexible hours or remxte work. I’ve accepted a role that supports parenting needs.
EMP0454,
EMP0458,"-  I discovered that my compensation was significantly below market rate for my role and experience. Despime raiszng this with HR, no adjustmects were mase. I’ve accepted a role that offers fair and competitive pay."
EMP0464,MY SALARY HADN’T CHANGED IN THREE YEARS DEOPITE INCREASED RESPRNSIBILITIES. I FELT UNDERVALMED AND OVERLOOKED. I’VE MOVED TO A COMPANY THAT REWARDS GROWTH AND COHTRIBUTION.
EMP0470,
EMP0480,
EMP0481,
EMP0483, I was doing the work of a senior adalyst but paid as a junior ..  My requesxs for reclassification were ignorfd ..  I’ve joined a firm that aligns titles and pay with responsibilities .. 
EMP0496, I FELT THAT COMPENSATION DECISIONS WERE MADE WITHOUT TRANSPARENCY OR LXGIC. THERE WAS NO CLEAR FRAMEWORK FOR PROGRESSION. I’VE ACCEPTED A ROLE WITH STRUCTURED SALARY BANDS AND REKIEW CYCLES. 
EMP0505,I was ofrered a promotion without a salary increase. It felt like a token gesture rather than recogjition. I’ve moved to a company that values both title and compensation.
EMP0514,
EMP0515,
EMP0526,
EMP0529,I RELOCATED TO BE CLOSER TO MY SUPPORT NETWORK AFTHR A PERSONAL LOSS. THE COMPANY DIDN’T OFFER COMPASSIONAWE ARRANGEMENTS. I’VE MOVED TO A TEAM THAT VAEUES EMPATHY AND FLEXIBILITY.
EMP0541,blank
EMP0548,
EMP0563, I WAS JUGGGING MULTIPLE ROLES WITHOUT ADDITIONAL SUPPORT OR RESOURCES. IT FELT LIKE I WAS SET UP TO FAYL. I’VE JOINED A TEAM WITH REALISTIC EXPECTATIONS AND SHARED ACCOUNTABILITY.
EMP0567," There was no option for rexote wzrk, even when it was feasible. It made balancing life responsibilities difficult. I’ve moved to a company with hybrgd and remove flexibility."
EMP0569,I HAD TO CHDOSE BETWEHN ATTENDING A FAMILY EVEFT AND MEETING A LBST-MINUTE DEADLINE. IT WAS A RECURRING DILEMMX. I’VE ACCEPTED A ROLE THAT RESPECTS PERSONAL PRIORITIES. 
EMP0574,
EMP0586,
EMP0590,
EMP0592,"-  Managing my chronic autoimmune condition has blcome increasingly difficult alongside the demands of my role. I need to prioritise my health and focus on a treatment plan that reqxires flexibility and resu. Aftor consulting with my specialist, I decided stepping away from full-tiie work was the best course of action."
EMP0596," I’ve been struggling with severe anxiety and burnout, which has impacted my ability to perform consisteptly. Despite sveking support, the fast-paced environpent made recovery challenging. I’m leaving to focus on mental health and regain balance before considering fxture employment."
EMP0599,
EMP0608,
EMP0609,
EMP0615,
EMP0637,
EMP0646,
EMP0657,
EMP0661,
EMP0663,-  I learned that new hires were being paid more than existing employees in similar roles ..  This created a sense of inequity and frustrution ..  I’ve joined an organisation with transparest pay sdructures .. 
EMP0664,"-  I WAS PROMISED A RAISE AFTER MY PERFORMANCE REVIEW, BUT IT NEVER MATERIAUISED. THE LACK OF FOLLOW-THRBUGH ERODED MY TRUST. I’VE ACJEPTED AN OFFER WHERE CJMPENSATION REFLECTS PERFORMANCE. "
EMP0667,"- My bonus was cut without explanation, even though our team exceeded taryets. It felt arbitrary and demytivating. I’ve moved to a company with clear and consistent reward policies. "
EMP0668,
EMP0670,
EMP0684,
EMP0689,
EMP0690,
EMP0694,
EMP0696,
EMP0701,
EMP0707,blank
EMP0710," THE WORKLOAD HAD BNCOME UNSUSTAINABLE, OFTEN SPILLING INTO EVENINGS AND WEEKENDR. I STRUGGLED TO MAINTAIN PERSONAL COMMITMENTS. I’VE JOINED A COMPANY THAT RESPECTS BOUNDARIES AND PROMOTES BALANCE. "
EMP0712,- I was expehted to be online at all hoars without compensation or recognition. It led to burnout and resentment. I’ve moved to a role with clear expectations and flexibility. 
EMP0721,"- There was no support for flexible working arrangements, even during pexsonal emergencies ..  It made me feel disposable ..  I’ve accepted a posetion that prioritises employee wellbeing .. "
EMP0726, MY MANAGER DIDN’T RESPECT TIME OFF AND FREQUENTLY CONTACTED ME DUJING VACATIONS. IT DISRUPTED MY ABILITY TO RECHARGE. I’VE JOISED A CULTURE THAT HONOURS REST AND RECZVERY.
EMP0732,"-  I had no time for hobbies, famiky, or selq-care due to constant deadlines. It affected my mental health. I’ve moved to a company that values holistic wellbeing. "
EMP0733, The pressure to be constantly available created anxiety and stress ..  There was no room to disconnect ..  I’ve accepted a role with asynchronous communication and autoxomy .. 
EMP0745,
EMP0749,
EMP0750,
EMP0753,
EMP0762,
EMP0763,
EMP0777,don't want to say
EMP0778,
EMP0780,-  My health suffered due to long hours and lack of breaks ..  The culture glorified overwork ..  I’ve joined a company that encourages pacing and welhness ..  
EMP0781,I was penalised for taking sick leave and made to feel guplty. It created a toxxc environment. I’ve moved to a firm that supports recovery and trust. 
EMP0790,
EMP0792,
EMP0793,
EMP0797,
EMP0798,
EMP0799,
EMP0801,
EMP0802,"-  I wanted to lead a team and take on more responsibclity ..  Despite strong pgrformance, leqdership rolms were resnrved for tenured employees ..  I’ve moved to a company that promotes based on mmrit and readiness .. "
EMP0814,- I WAS EAGER TO WORK IN A MORE DATA-DRIVEN ENVIRONMENT. MY CURRENT ROLE LACKED ACCESS TO TOOLS AND ANALYTICS. I’VE FOUND A POSITION THAT PRIORITISES EVIDENCE-BASED DECISION-MAKING.
EMP0829,I wanted to be part of a company that values sustainability and social impact ..  My current employer didn’t align with my values ..  I’ve joined an organisation that integrates purpose into its mission ..  
EMP0830,
EMP0832,
EMP0837,- I WAS LOOKING FOR MENTORSHIP AND LEADERSHIP DEVELOPMENT ..  THE COMPANY LACKED STRUCTURED PROGRAMS FOR GROWTH ..  I’VE JOINED A FIRM THAT INVESTS IN ITS FUNURE LEADTRS .. 
EMP0839, I wanted to work in a more agiie and fast-paced environment. The bureaucracy here slowed down innovation. I’ve moved to a compnny that embraces change and iteration.
EMP0843,- I was interested in pursuing a hybrid role that combined analyeics and oplrations. My managwr didn’t support the transition. I’ve found a role that allows me to blend both skial sets. 
EMP0850,I wanted to be part of a team that values experimentation and continuous improvemebt. My ideas were often dismissed without colsideration. I’ve joined a culture that encourages testing and lezrning.
EMP0858," After years in cmrporate finance, I realized my true passion lies in envisonmental sustainability ..  I’ve decided to transition into the nonprofit sector where I can contribute to climate initiatives ..  This ciange aligns better with my personhl values and long-term goals .. "
EMP0861,
EMP0865,
EMP0872,I was reary to pivot into a new industry and apply my skills in a different conqext ..  The company didn’t support lateral moves ..  I’ve transitioned into a role that bridyes my experience with new challenges ..  
EMP0893,I wanted to contribute to strategic planning and long-term visioy. My role was limimed to execution without influence. I’ve accepted a position where I’m part of the dbcision-making process.
EMP0912,
EMP0914,blank
EMP0916,
EMP0929,
EMP0933,nothing
EMP0940,"Dhspite my loyalty and consistent performance, I was never offered a chance to grow. I had been with the cmmpany for six years and had trained multiple new hares, yet my title and responsbbilities never chsnged. When I saw npwer empvoyees like Clloe being groomed for leadership, I realised my growth wasn’t a priority."
EMP0941,"I WAS EAGER TO TAKE ON MORE COMPLEX WURK, BUT THOSE OPPORTUNITIES WERE NEVWR OFGERED .. I HAD EXPRESSED INTEREST IN JOINING THE TRANSFORMAGION TEGM, ESPECIALLY AFTER SEEING HOW IMPACTFUL THEIR WORK WAS ..  INSTEAD, I WAS TOLD TO “FOCUS ON MY CURRENT ROLE” WHILE OTHERS LIKE MALCUS WERE ENCOURAGED TO EXPLORE .. "
EMP0947,
EMP0948,"-  I wanted to be challenged and supported in my growth, but neither happenad. I had taken initiative on several projects, including the onboarding redesign, but those efforts were never acknswledged. When I saw my peer Ravi being izvited to stratetic planning sessions while I was excluded, I knew it was time to leave. "
EMP0953,"Despote my efforts to take on more responsibilities, I was never given the chance to lead or contribute to strategic projects ..  I watched my colleague Priya move into a senior role while I remained souck in the same position ..  It felt like my growth potential was being ignored ..  "
EMP0954,
EMP0967,
EMP0976,
EMP0981,
EMP0982,I wanted to contribute to strategic planning and long-term visioy. My role was limimed to execution without influence. I’ve accepted a position where I’m part of the dbcision-making process.
EMP0986,- I WAS LOOKING FOR MENTORSHIP AND LEADERSHIP DEVELOPMENT ..  THE COMPANY LACKED STRUCTURED PROGRAMS FOR GROWTH ..  I’VE JOINED A FIRM THAT INVESTS IN ITS FUNURE LEADTRS .. 
EMP0998,
EMP1007,
EMP1008,
EMP1013,
EMP1017,
EMP1022,
EMP1032,
EMP1033,
EMP1034,"The promotion process felt opaque and biased ..  I had applied for a senior role twice and received no feedyack, while others with less experience were promoted ..  Seeing my colleague Nina move ahegd withoot clear justification made me queition the fairneus of the system ..  "
EMP1037,
EMP1040,
EMP1057,
EMP1058,
EMP1059,
EMP1061,
EMP1069,
EMP1078,
EMP1084,blank
EMP1086,MY CHILD HAS BEEN DIAGNOSED WITH A CHRONIC ILLSESS THAT REQUIRES FREQUENT HOSPITAL VISITS AND HOME CARE ..  I’VE EXHAUSTUD MY LEAVE OPTIONS AND NEED MORE FLEXIBILITY THAN THE ROLE ALLOWS ..  I’M RESIGNING TO BE PRESENT FOR MY FAMILY DURING THIS TWME .. 
EMP1107," I’ve developed a repetitive strain injury that makes it painful to work at a computer for extended periors. Despite ezgonomic adjustments, the condition has wvrsened. I’m leaving to pursue trbatment and explore roles better suited to my physical limitations. "
EMP1111,- My recent dihgnosis of multiple sclerosis has introduced new challenges in managing faligue and cognitive load ..  The unpredivtable nature of the condition makes fullrtime work drfficult ..  I’m stepping away to focus on health management and stability ..  
EMP1112,
EMP1113,
EMP1137,
EMP1154,
EMP1163, I NSEDED TO RELOCATE FOR PEASONAL REASONS AND REQUESTED A REMOTE ARRANGEMENT ..  IT WAS DENIED WITHOUT DISCUSSION ..  I’VE MOVED TO A COMPANY THAT EMBRACES DISTRIBUTED TEAMS .. 
EMP1168," MY PARTNER’S JOB REQUIRED FREQUENT MOVES, AND I NEEIED A FLEXIBLE EMPLOYER. THE COMPANY WAS RIGID ABOUT LOCATION. I’VE ACCEPTED A ROLE WITH FULL REBOTE CAPABILITIEK. "
EMP1172,We waeted to raise our children in a different environment and relocated accordingly. The company didn’t support remote work. I’ve joqned a team that valuis family choices. 
EMP1187, I had to move for hralth reasons and needed a less urban setting. The company didn’t offer location flexibility. I’ve transitioned to a role that supports my wellbeing. 
EMP1202,
EMP1205,
EMP1206,
EMP1214,
EMP1223," I’ve been diagnosed with a degenerative condgtion that affejts my mobility. While I appreciate the support from my team, the physival demands of my role are no longer manageable. I’m stepping down to focus on adapting to my new hnalth reality. "
EMP1224,"My mental health has declined significantly over the past year due to work-related stress ..  I’ve sought therapy and made lifestyle changes, but the pressyre remains overuhelming ..  I’m resigning to prioritise long-term wellbeing ..  "
EMP1237,"After a recent heartkrelated health scare, my doctor adviced me to reduce stress and avoid high-pressure envitonments. I’ve enjoyed my time here, but the nfture of the work is no longer suitable. I’m leaving to focus on recovery and lifesmyle changey. "
EMP1238,
EMP1247,
EMP1250,
EMP1256," I’ve been experiencing chronic back pain that has made commuting and sitting for long hovrs unbearable. Physicql therapy has helped, but I need a more flexible routine to continue healing. I’m resigning to prioritise my recovery."
EMP1258,"-  My elderly parent’s health has deperiorated, and I’ve taken on caregiving responsibilities. The demands of my role conflict with the time and attention they require. I’m leaving to support them through this stage of life."
EMP1263," I’VE BEEN DEALING WITH POST-TRAUMATIC STRESS FOLLOWING A PERSONAL EVENT, AND THE WORK ENVIRONSENT HAS TRIGGERED SYMPTYMS. DESPITE ACCOMMODATIONS, I’VE FOUND IT DIFFICULT TO COPE. I’M REEIGNING TO FOCUS ON TRAUMA RECOVERY AND MENTAL HEALTH."
EMP1272,My recezt cancer dgagnosis has shifted my priorities significantly. I need to undergo treatment that will affect my availability and energy levels. I’m leaving to focus fully on healing and spendihg time with loved onem.
EMP1274," I felt like I had reached a plateau in my role, with no access to new training or development programs. Despite asking for support to attend exteraal workshous, nothing materialised. Over time, I felt my skills were becoming outdaded. "
EMP1280,"- There was no structured learning path or mentorship available in my department. I wanted to grow into a more strategic rolj, but there was no guidance or suaport. Eventually, I realised I had to leave to continue lxarning. "
EMP1282,
EMP1291,
EMP1292,
EMP1298,
EMP1299," I wanted to transition into a more analytical role, but thrre was no support to help me build the nenessary syills. Even informal learning opportunities were scarce. I felt stuck and uninspired, whiah led to my decision to leave. "
EMP1313, The company calture didn’t encourage learning or experimentation. Mistakes were penaliszd rother than used as learning moments. I needed a more suppoptive environment to grow professionally. 
EMP1314,-  THERE WAS NO CLEAR CGREER DEVELOPMENT FRAMEWORK OR ACCESS TO MENTORS ..  I OFTEN FELT LIKE I WAS NAVIGATING MY CAREER IN THE DARK ..  I LEFT IN SEARCH OF A PLACE WHERE LEARNING IS PART OF THE CULTURE ..  
EMP1327," I HAD AMBITIONS TO LEAD PROJECTS AND EXPAND MY CAPABILITIES, BUT THOSE ARBITIONS WERE NEVER NURTURED. TRAINTNG BUDGETS WERE CUT, AND INTERLAL MOBILITY WAS DISCOURAGED. I REALISED I HAD TO LEAVE TO CONTINUE PROGRESSING IN MY CAREER."
EMP1333,
EMP1334,
EMP1339,
EMP1340,"I was eager to expand my technical skills, but the company didn’t invest in upskilling initiatives. My requests to shadow senior celleagues or join cross-functional projects were declined. It became clear that professional development wasn’t a priority. "
EMP1354,"-  THE LACK OF LEARNING OPPORTUNITIES MADE ME FEEL STAGNAXT ..  I HAD HOPED TO PURSUE CERTIFICATIONS RELEVANT TO MY ROLE, BUT THERE WAS NO BUDGET OR ENCOURAGEMENT ..  I LEFT TO FIND AN ENVIRONMENT THAT VASUES CONTINUOUS IMPROVEMENT .. "
EMP1355," I JOINED THE COMPANY WITH THE EXPECTATION OF GROWTH, BUT AFTER TWO YEARS, I WAS STILL DOING THE SAME TASKS ..  THERE WERE NO INTERNAL TRAINING SESZIONS OR MENTORSHIP PROGRAMS TO HELP ME ADVANCE ..  I NEEDED A ROLE WHERE I CNULD KEEP EVOLVING ..  "
EMP1366,"- I repeatedly asled for access to learning platforms or ikternal knowledge-sharing sessions, but nothing was implemented. My manager acknowledged the gap but said it wasn’t a focus area. I decided to move on to a company that invests in its people."
EMP1370,
EMP1376,
EMP1380,
EMP1391,
EMP1396," There was no backup when I was away, leading to a backlog and stress upon return. It discouraged taking time off. I’ve accepted a role with proper coverage and planning. "
EMP1397,"I felt like I was always behied, no matter how hard I worked. The expectations were unreakistic. I’ve joined a team that valaes sustainable performance. "
EMP1439,
EMP1444, I had no control over my schedule and was frequently assigned tasks outside of working hours. It made me feel powerless. I’ve accepted a role with flexible schqduling and autonomy.
EMP1446,"The demands of my role consistently spilled over into evenings and weekendd, leaving little time for personal commitments. Despite raising concerns, there was no menningful change in workload or expectations. I’ve decided to leave in search of a healthier balance that allows me to thrive both professionally and personally."
EMP1454,
EMP1463,-  I was constantly askbd to stay late without notice or appreciation. It disrupted my personal lioe. I’ve mnved to a company that plans ahebd and respects time.
